sr_number,sr_type,sr_short_code,owner_department,status,origin,created_date,last_modified_date,closed_date,street_address,city,state,zip_code,street_number,street_direction,street_name,street_type,duplicate,legacy_record,community_area,ward,police_sector,police_district,police_beat,precinct,created_hour,created_day_of_week,created_month,x_coordinate,y_coordinate,latitude,longitude,location,created_department,electricity_grid,parent_sr_number
SR23-01818106,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-20T00:24:16.000,2023-10-20T00:30:43.000,2023-10-20T00:24:16.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,0,6,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01778324,Graffiti Removal Request,GRAF,Streets and Sanitation,Completed,Internet,2023-10-15T11:36:00.000,2023-10-16T13:29:36.000,2023-10-16T13:29:36.000,3008 W BELMONT AVE,Chicago,Illinois,60618,3008,W,BELMONT,AVE,False,False,21,33,3,17,1733,4,11,1,10,1155698.347441571,1921192.446980478,41.939559001,-87.7031775,"{'latitude': '41.93955900094065', 'longitude': '-87.7031775000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,I014,
SR23-01797443,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-17T19:54:19.000,2023-10-17T20:30:55.000,2023-10-17T19:54:20.000,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,19,3,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,
SR23-01698743,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-02T22:56:12.000,2023-10-02T23:30:54.000,2023-10-02T22:56:13.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,22,2,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01749330,Graffiti Removal Request,GRAF,Streets and Sanitation,Completed,Phone Call,2023-10-10T18:04:32.000,2023-10-11T08:21:24.000,2023-10-11T08:21:24.000,1608 W SHERWIN AVE,Chicago,Illinois,60626,1608,W,SHERWIN,AVE,False,False,1,49,2,24,2423,11,18,3,10,1164308.668493837,1948844.067983911,42.015258001,-87.670746,"{'latitude': '42.01525800094091', 'longitude': '-87.67074600000188', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Streets and Sanitation,L004,
SR23-01854753,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-25T15:41:13.000,2023-10-25T16:31:22.000,2023-10-25T15:41:14.000,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,15,4,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,
SR23-01869193,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-27T13:37:08.000,2023-10-27T14:31:35.000,2023-10-27T13:37:09.000,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,13,6,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,
SR23-01901091,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-11-02T07:29:11.000,2023-11-02T07:31:01.000,2023-11-02T07:29:11.000,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,7,5,11,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,
SR23-01766887,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-13T09:28:02.000,2023-10-13T09:32:21.000,2023-10-13T09:28:02.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,9,6,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01891306,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-31T13:53:38.000,2023-10-31T14:31:34.000,2023-10-31T13:53:38.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,13,3,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01733274,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-08T07:40:10.000,2023-10-08T08:31:12.000,2023-10-08T07:40:10.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,7,1,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01938936,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-08T08:40:23.000,2023-11-08T09:30:43.000,2023-11-08T08:40:23.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,8,4,11,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01837754,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-23T13:42:39.000,2023-10-23T13:42:39.000,2023-10-23T13:42:39.000,5154 N MULLIGAN AVE,Chicago,Illinois,60630,5154,N,MULLIGAN,AVE,False,False,11,41,2,16,1622,27,13,2,10,1132823.03896116,1934108.628986959,41.975433001,-87.7869495,"{'latitude': '41.97543300094078', 'longitude': '-87.78694950000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,A010,
SR23-01879096,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-29T17:56:52.000,2023-10-29T18:30:43.000,2023-10-29T17:56:52.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,17,1,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01922190,Wire Basket Request,SCS,Streets and Sanitation,Completed,Mobile Device,2023-11-05T16:29:29.000,2023-11-06T13:42:25.000,2023-11-06T13:42:25.000,4033 N BROADWAY,,,,4033,N,BROADWAY,,False,False,3,46,1,19,1915,34,16,1,11,1169851.593226978,1927135.611228413,41.955570001,-87.6509865,"{'latitude': '41.95557000094072', 'longitude': '-87.6509865000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N012,
SR23-01901683,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-11-02T08:45:53.000,2023-11-02T09:32:02.000,2023-11-02T08:45:53.000,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,8,5,11,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,
SR23-01823943,Alley Pothole Complaint,PHB,CDOT - Department of Transportation,Completed,Alderman's Office,2023-10-20T16:40:17.000,2023-11-01T11:25:05.000,2023-11-01T11:25:05.000,1512 N LASALLE DR,Chicago,Illinois,60610,1512,N,LASALLE,DR,False,False,8,2,2,18,1821,37,16,6,10,1174836.869656128,1910413.423906565,41.909573337,-87.63316178,"{'latitude': '41.90957333679459', 'longitude': '-87.63316177998666', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,P019,
SR23-01735069,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-08T14:41:11.000,2023-10-08T15:31:03.000,2023-10-08T14:41:11.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,14,1,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01872216,Recycling Pick Up,SRRP,Streets and Sanitation,Completed,Mobile Device,2023-10-28T02:01:22.000,2023-10-30T07:21:30.000,2023-10-30T07:21:30.000,5253 S HERMITAGE AVE,,,,5253,S,HERMITAGE,AVE,False,False,61,16,3,09,0932,8,2,7,10,1165641.746628026,1869673.43146192,41.797980001,-87.6681,"{'latitude': '41.79798000094014', 'longitude': '-87.66810000000193', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,L034,
SR23-01882259,Rodent Baiting/Rat Complaint,SGA,Streets and Sanitation,Completed,Internet,2023-10-30T10:37:05.000,2023-11-08T14:10:40.000,2023-11-08T14:10:40.000,5460 S HARPER AVE,Chicago,Illinois,60615,5460,S,HARPER,AVE,False,False,41,5,3,02,0234,24,10,2,10,1187139.522112405,1869256.015642321,41.796351001,-87.589278,"{'latitude': '41.79635100094019', 'longitude': '-87.5892780000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,T034,
SR23-01785077,Building Violation,BBA,DOB - Buildings,Open,Alderman's Office,2023-10-16T12:22:48.000,2023-10-16T12:22:53.000,,1607 W 87TH ST,Chicago,Illinois,60620,1607,W,87TH,ST,False,False,71,18,2,22,2221,16,12,2,10,1167066.897901707,1846919.932949566,41.735511001,-87.6635235,"{'latitude': '41.73551100093993', 'longitude': '-87.6635235000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Alderman,L043,
